Language,original,english,czech,german,russian,polish,hungarian,italian,spanish,french,chinese,japanese
STR_CfgVehicles_ZenCarWorkbench0,"Vehicle Workbench","Vehicle Workbench","Pracovní stůl pro vozidla","Fahrzeugwerkbank","Верстак для транспортных средств","Stół warsztatowy pojazdów","Jármű munkapad","Banco da lavoro per veicoli","Banco de trabajo para vehículos","Établi de véhicule","車輛工作台","車両作業台"
STR_CfgVehicles_ZenCarWorkbench1,"A workbench perfect for mechanics","A workbench perfect for mechanics","Pracovní stůl ideální pro mechaniky","Eine Werkbank perfekt für Mechaniker","Верстак, идеальный для механика","Stół warsztatowy idealny dla mechaników","Mechanikusoknak tökéletes munkaasztal","Un banco da lavoro perfetto per i meccanici","Un banco de trabajo perfecto para mecánicos","Un établi parfait pour les mécaniciens","適合機械師的工作台","メカニックに最適な作業台"
STR_CfgVehicles_ZenCarWorkbenchKit0,"Vehicle Workbench Kit","Vehicle Workbench Kit","Sada pracovních stolů pro vozidla","Fahrzeug-Werkbank-Kit","Комплект рабочего места для автомобиля","Zestaw warsztatowy do pojazdów","Jármű munkapad készlet","Kit banco da lavoro per veicoli","Kit de banco de trabajo para vehículos","Kit d'établi pour véhicule","車輛工作台套件","車両作業台キット"
STR_CfgVehicles_ZenSprayCan,"Spraycan","Spraycan","Plechovka spreje","Sprühdose","Аэрозоль","Spray","Festékszóró","Bombola spray","Lata de aerosol","Aérosol","噴霧罐","スプレー缶"
STR_CfgVehicles_ZENVIKINGAXE0,"Viking Axe","Viking Axe","Viking Axe","Wikingeraxt","Топор викинга","Topór Wikingów","Viking Axe","Ascia vichinga","Hacha vikinga","Hache viking","維京斧頭","バイキングアックス"
STR_Zen_ImprovisedShelter0,"Camo Net Shelter","Camo Net Shelter","Camo Net úkryt","Tarnnetz-Schutz","Камуфляжное укрытие","Schronienie z siatki kamuflażowej","Camo Net Shelter","Riparo in rete mimetica","Refugio de red de camuflaje","Abri en filet de camouflage","迷彩網庇護所","迷彩ネットシェルター"
STR_Zen_ImprovisedShelter1,"An improvised shelter made from a camo net","An improvised shelter made from a camo net","Improvizovaný úkryt vyrobený z maskovací sítě","Ein improvisierter Unterschlupf aus einem Tarnnetz","Импровизированное укрытие из камуфляжной сети.","Improwizowane schronienie wykonane z siatki maskującej","Terephálóból készült rögtönzött menedék","Un rifugio improvvisato realizzato con una rete mimetica","Un refugio improvisado hecho con una red de camuflaje.","Un abri improvisé fabriqué à partir d'un filet de camouflage","迷彩網製成的臨時庇護所","カモフラージュネットで作った即席のシェルター"
STR_ZenFireFuel0,"Gasoline","Gasoline","Benzín","Benzin","Бензин","Benzyna","Benzin","Benzina","Gasolina","De l'essence","汽油","ガソリン"
STR_ZenFireFuel1,"This fireplace has been soaked in gasoline","This fireplace has been soaked in gasoline","Tento krb byl napuštěný benzínem","Dieser Kamin wurde mit Benzin getränkt","Этот камин пропитан бензином","Kominek został zalany benzyną","Ezt a kandallót benzinnel áztatták","Questo caminetto è stato immerso nella benzina","Esta chimenea ha sido empapada en gasolina.","Cette cheminée a été trempée dans l'essence","這個壁爐已經被汽油浸透了","この暖炉はガソリンに浸かっています"
STR_ZenLeftoversDescription,"It must have been recently discarded by a survivor...","It must have been recently discarded by a survivor...","Musel to být nedávno vyřazen přeživším","Es muss kürzlich von einem Überlebenden weggeworfen worden sein","Должно быть, его недавно выбросил выживший.","Musiał zostać niedawno wyrzucony przez ocalałego","Biztosan nemrég dobta ki egy túlélő","Deve essere stato scartato di recente da un sopravvissuto","Debe haber sido descartado recientemente por un sobreviviente.","Il a dû être récemment abandonné par un survivant","它一定是最近被倖存者丟棄的","最近生存者によって捨てられたに違いない"
